,State,Assembly Constituency,Winner,Winner Party,Winner Votes,Runner-up,Runner-up Party,Runner-up Votes,Margin
135,Uttar Pradesh,Kairana,IQRA CHOUDHARY,Samajwadi Party,528013,PRADEEP KUMAR,Bharatiya Janata Party,458897,69116
136,Uttar Pradesh,Muzaffarnagar,HARENDRA SINGH MALIK,Samajwadi Party,470721,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,446049,24672
137,Uttar Pradesh,Bijnor,CHANDAN CHAUHAN,Rashtriya Lok Dal,404493,DEEPAK,Samajwadi Party,366985,37508
138,Uttar Pradesh,Nagina,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),512552,OM KUMAR,Bharatiya Janata Party,361079,151473
139,Uttar Pradesh,Moradabad,RUCHI VIRA,Samajwadi Party,637363,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,531601,105762
140,Uttar Pradesh,Rampur,MOHIBBULLAH,Samajwadi Party,481503,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,394069,87434
141,Uttar Pradesh,Sambhal,ZIA UR REHMAN,Samajwadi Party,571161,PARMESHWAR LAL SAINI,Bharatiya Janata Party,449667,121494
142,Uttar Pradesh,Amroha,KANWAR SINGH TANWAR,Bharatiya Janata Party,476506,KUNWAR DANISH ALI,Indian National Congress,447836,28670
143,West Bengal,Coochbehar,JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,788375,NISITH PRAMANIK,Bharatiya Janata Party,749125,39250
144,West Bengal,Alipurduars,MANOJ TIGGA,Bharatiya Janata Party,695314,PRAKASH CHIK BARAIK,All India Trinamool Congress,619867,75447
145,West Bengal,Jalpaiguri,DR JAYANTA KUMAR ROY,Bharatiya Janata Party,766568,NIRMAL CHANDRA ROY,All India Trinamool Congress,679875,86693
146,West Bengal,Darjeeling,RAJU BISTA,Bharatiya Janata Party,679331,GOPAL LAMA,All India Trinamool Congress,500806,178525
147,West Bengal,Raiganj,KARTICK CHANDRA PAUL,Bharatiya Janata Party,560897,KALYANI KRISHNA,All India Trinamool Congress,492700,68197
148,West Bengal,Balurghat,SUKANTA MAJUMDAR,Bharatiya Janata Party,574996,BIPLAB MITRA,All India Trinamool Congress,564610,10386
149,West Bengal,Maldaha Uttar,KHAGEN MURMU,Bharatiya Janata Party,527023,PRASUN BANERJEE,All India Trinamool Congress,449315,77708
150,West Bengal,Maldaha Dakshin,ISHA KHAN CHOUDHURY,Indian National Congress,572395,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,444027,128368
151,West Bengal,Jangipur,KHALILUR RAHAMAN,All India Trinamool Congress,544427,MURTOJA HOSSAIN BOKUL,Indian National Congress,427790,116637
152,Chhattisgarh,SURGUJA,CHINTAMANI MAHARAJ,Bharatiya Janata Party,713200,SHASHI SINGH KORAM,Indian National Congress,648378,64822
153,Chhattisgarh,RAIGARH,RADHESHYAM RATHIYA,Bharatiya Janata Party,808275,DR. MENKA DEVI SINGH,Indian National Congress,567884,240391
154,Chhattisgarh,JANJGIR-CHAMPA,KAMLESH JANGDE,Bharatiya Janata Party,678199,DR. SHIVKUMAR DAHARIYA,Indian National Congress,618199,60000
